#                                                                              --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                          accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCZH01036937.1_3     -          oskar_filtered.aligned.LOTUS_domain -            2.6e-20   76.6  13.1   2.4e-12   51.0   0.2   5.2   4   1   1   5   5   5   4 TSA: Prociphilus tessellatus breed wildtype s11465_L_34859_1_29_0_FORK, transcribed RNA sequence
GCZH01039456.1_3     -          oskar_filtered.aligned.LOTUS_domain -            6.1e-18   69.0   0.3   6.1e-18   69.0   0.3   3.9   4   0   0   4   4   4   1 TSA: Prociphilus tessellatus breed wildtype s13733_L_45338_0_55_6_LINEAR, transcribed RNA sequence
GCZH01048882.1_1     -          oskar_filtered.aligned.LOTUS_domain -            8.2e-12   49.3   0.1   8.2e-12   49.3   0.1   2.3   2   0   0   2   2   2   1 TSA: Prociphilus tessellatus breed wildtype s7023_L_18787_4_31_3_COMPLEX, transcribed RNA sequence
GCZH01048880.1_1     -          oskar_filtered.aligned.LOTUS_domain -            2.1e-11   47.9   0.1   2.1e-11   47.9   0.1   2.5   3   0   0   3   3   3   1 TSA: Prociphilus tessellatus breed wildtype s7021_L_18787_2_35_2_COMPLEX, transcribed RNA sequence
GCZH01048877.1_1     -          oskar_filtered.aligned.LOTUS_domain -            2.5e-11   47.7   0.1   2.5e-11   47.7   0.1   2.6   3   0   0   3   3   3   1 TSA: Prociphilus tessellatus breed wildtype s7019_L_18787_0_42_3_COMPLEX, transcribed RNA sequence
GCZH01048879.1_1     -          oskar_filtered.aligned.LOTUS_domain -            1.2e-08   39.1   0.1   1.2e-08   39.1   0.1   2.1   2   0   0   2   2   2   1 TSA: Prociphilus tessellatus breed wildtype s7020_L_18787_1_44_8_COMPLEX, transcribed RNA sequence
GCZH01036936.1_1     -          oskar_filtered.aligned.LOTUS_domain -            3.4e-07   34.5   3.9      0.35   15.2   0.1   3.8   2   1   1   3   3   3   3 TSA: Prociphilus tessellatus breed wildtype s11464_L_34859_0_32_8_FORK, transcribed RNA sequence
GCZH01041318.1_6     -          oskar_filtered.aligned.LOTUS_domain -            1.5e-05   29.2   4.6   1.3e+02    6.9   0.0   7.4   5   2   2   7   7   7   1 TSA: Prociphilus tessellatus breed wildtype s1540_L_3709_0_52_9_COMPLEX, transcribed RNA sequence
GCZH01028815.1_1     -          oskar_filtered.aligned.LOTUS_domain -            2.7e-05   28.4   2.6   0.00079   23.6   0.1   3.0   3   0   0   3   3   3   1 TSA: Prociphilus tessellatus breed wildtype C207220_28_0, transcribed RNA sequence
GCZH01012448.1_5     -          oskar_filtered.aligned.LOTUS_domain -               0.51   14.6   0.2      0.77   14.1   0.2   1.3   1   0   0   1   1   1   0 TSA: Prociphilus tessellatus breed wildtype C139566_6_0, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCZH01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCZH01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCZH01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 13:10:57 2019
# [ok]
