#                                                                              --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                          accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCWG01047048.1_6     -          oskar_filtered.aligned.LOTUS_domain -            1.6e-18   71.0   0.1   8.3e-18   68.7   0.0   2.4   2   0   0   2   2   2   1 TSA: Anasa tristis breed wildtype s12060_L_69219_0_9_8_LINEAR, transcribed RNA sequence
GCWG01055852.1_6     -          oskar_filtered.aligned.LOTUS_domain -            4.3e-13   53.5   0.0     8e-13   52.7   0.0   1.4   1   0   0   1   1   1   1 TSA: Anasa tristis breed wildtype s7881_L_39243_0_6_0_LINEAR, transcribed RNA sequence
GCWG01044662.1_2     -          oskar_filtered.aligned.LOTUS_domain -            5.9e-12   49.9   0.0    0.0089   20.4   0.0   5.7   3   2   2   5   5   5   3 TSA: Anasa tristis breed wildtype C252214_9_0, transcribed RNA sequence
GCWG01030449.1_3     -          oskar_filtered.aligned.LOTUS_domain -            7.3e-07   33.5   0.0   9.9e-07   33.1   0.0   1.3   1   0   0   1   1   1   1 TSA: Anasa tristis breed wildtype C200762_8_0, transcribed RNA sequence
GCWG01047703.1_6     -          oskar_filtered.aligned.LOTUS_domain -             0.0053   21.2   0.2       0.7   14.3   0.0   3.0   3   0   0   3   3   3   1 TSA: Anasa tristis breed wildtype s12651_L_73601_0_8_0_LINEAR, transcribed RNA sequence
GCWG01031020.1_3     -          oskar_filtered.aligned.LOTUS_domain -               0.55   14.7   0.0      0.89   14.0   0.0   1.4   1   0   0   1   1   1   0 TSA: Anasa tristis breed wildtype C202610_10_0, transcribed RNA sequence
GCWG01055058.1_6     -          oskar_filtered.aligned.LOTUS_domain -               0.97   13.9   0.0       1.6   13.2   0.0   1.2   1   0   0   1   1   1   0 TSA: Anasa tristis breed wildtype s7164_L_34816_1_5_1_COMPLEX, transcribed RNA sequence
GCWG01002390.1_4     -          oskar_filtered.aligned.LOTUS_domain -                2.3   12.7   1.9       2.5   12.6   1.9   1.0   1   0   0   1   1   1   0 TSA: Anasa tristis breed wildtype C123234_2_0, transcribed RNA sequence
GCWG01040341.1_6     -          oskar_filtered.aligned.LOTUS_domain -                6.4   11.3   1.8        22    9.6   0.2   2.6   3   0   0   3   3   3   0 TSA: Anasa tristis breed wildtype C235340_12_0, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCWG01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCWG01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCWG01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 12:55:07 2019
# [ok]
