#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCWY01017914.1_2     -          LOTUS_CONSENSUS      -            1.8e-16   63.0   3.2   4.7e-16   61.7   0.1   2.8   3   0   0   3   3   3   1 TSA: Echmepteryx hageni breed wildtype i18232_g_ig11723_l_1683_nC_1, transcribed RNA sequence
GCWY01020876.1_4     -          LOTUS_CONSENSUS      -            1.5e-08   37.6   0.0   2.8e-08   36.8   0.0   1.4   1   0   0   1   1   1   1 TSA: Echmepteryx hageni breed wildtype i21198_g_ig14689_l_486_nC_1, transcribed RNA sequence
GCWY01021551.1_6     -          LOTUS_CONSENSUS      -            0.00092   22.3   0.0        23    8.1   0.0   4.1   2   1   1   4   4   4   2 TSA: Echmepteryx hageni breed wildtype i21873_g_ig15364_l_4813_nC_1, transcribed RNA sequence
GCWY01011322.1_5     -          LOTUS_CONSENSUS      -             0.0029   20.7   0.7    0.0074   19.4   0.5   1.8   1   1   1   2   2   2   1 TSA: Echmepteryx hageni breed wildtype i11159_g_ig04650_l_703_nC_1, transcribed RNA sequence
GCWY01003688.1_1     -          LOTUS_CONSENSUS      -             0.0054   19.8   0.1     0.045   16.8   0.0   2.0   2   0   0   2   2   2   1 TSA: Echmepteryx hageni breed wildtype i03516_g_ig00234_l_510_nC_2, transcribed RNA sequence
GCWY01011245.1_5     -          LOTUS_CONSENSUS      -             0.0062   19.6   0.0    0.0092   19.1   0.0   1.2   1   0   0   1   1   1   1 TSA: Echmepteryx hageni breed wildtype i11082_g_ig04573_l_478_nC_1, transcribed RNA sequence
GCWY01016567.1_6     -          LOTUS_CONSENSUS      -              0.012   18.6   0.0     0.037   17.1   0.0   1.7   2   0   0   2   2   2   0 TSA: Echmepteryx hageni breed wildtype i16883_g_ig10374_l_532_nC_1, transcribed RNA sequence
GCWY01003688.1_2     -          LOTUS_CONSENSUS      -              0.026   17.6   0.0     0.038   17.1   0.0   1.3   1   0   0   1   1   1   0 TSA: Echmepteryx hageni breed wildtype i03516_g_ig00234_l_510_nC_2, transcribed RNA sequence
GCWY01020221.1_4     -          LOTUS_CONSENSUS      -              0.081   16.0   0.1       1.9   11.7   0.0   2.3   2   0   0   2   2   2   0 TSA: Echmepteryx hageni breed wildtype i20543_g_ig14034_l_497_nC_1, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCWY01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCWY01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCWY01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 00:46:16 2019
# [ok]
