#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDEM01069189.1_4     -          LOTUS_CONSENSUS      -            4.3e-13   53.9   0.0   1.5e-12   52.2   0.0   1.9   2   0   0   2   2   2   1 TSA: Xenophyes metoponcus breed wildtype s3782_L_2795_2_a_31_0_l_1252, transcribed RNA sequence
GDEM01069188.1_5     -          LOTUS_CONSENSUS      -            9.9e-13   52.8   0.0   3.1e-12   51.2   0.0   1.9   2   0   0   2   2   2   1 TSA: Xenophyes metoponcus breed wildtype s3781_L_2795_1_a_25_8_l_2000, transcribed RNA sequence
GDEM01013006.1_5     -          LOTUS_CONSENSUS      -            1.6e-12   52.1   0.0   1.8e-12   52.0   0.0   1.0   1   0   0   1   1   1   1 TSA: Xenophyes metoponcus breed wildtype C286207_a_4_0_l_248, transcribed RNA sequence
GDEM01040486.1_1     -          LOTUS_CONSENSUS      -               0.11   17.3   0.0        43    9.1   0.0   2.2   1   1   1   2   2   2   0 TSA: Xenophyes metoponcus breed wildtype C389524_a_5_0_l_671, transcribed RNA sequence
GDEM01026051.1_6     -          LOTUS_CONSENSUS      -               0.62   14.9   0.0      0.83   14.5   0.0   1.5   1   1   0   1   1   1   0 TSA: Xenophyes metoponcus breed wildtype C326264_a_28_0_l_308, transcribed RNA sequence
GDEM01074353.1_1     -          LOTUS_CONSENSUS      -                1.1   14.1   0.2         2   13.3   0.2   1.4   1   0   0   1   1   1   0 TSA: Xenophyes metoponcus breed wildtype s843_L_618_0_a_5_1_l_647, transcribed RNA sequence
GDEM01008899.1_6     -          LOTUS_CONSENSUS      -                1.3   13.9   0.5       1.5   13.7   0.5   1.2   1   0   0   1   1   1   0 TSA: Xenophyes metoponcus breed wildtype C275913_a_5_0_l_242, transcribed RNA sequence
GDEM01007289.1_5     -          LOTUS_CONSENSUS      -                1.8   13.5   0.5       2.2   13.2   0.5   1.2   1   0   0   1   1   1   0 TSA: Xenophyes metoponcus breed wildtype C271197_a_3_0_l_237, transcribed RNA sequence
GDEM01057154.1_6     -          LOTUS_CONSENSUS      -                2.2   13.2   1.0       6.8   11.6   1.0   1.8   1   0   0   1   1   1   0 TSA: Xenophyes metoponcus breed wildtype s20508_L_22251_1_a_12_6_l_3032, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDEM01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDEM01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDEM01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 00:48:02 2019
# [ok]
