#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
HAFL01112690.1_4     -          LOTUS_CONSENSUS      -              3e-12   52.7   3.8   2.7e-10   46.5   0.2   3.0   2   0   0   2   2   2   1 TSA: Proasellus beticus, contig comp95442_c0_seq12, transcribed RNA sequence
HAFL01114466.1_3     -          LOTUS_CONSENSUS      -            1.3e-11   50.7   5.3   2.4e-09   43.4   0.6   2.6   2   1   0   2   2   2   2 TSA: Proasellus beticus, contig comp95571_c0_seq2, transcribed RNA sequence
HAFL01112683.1_5     -          LOTUS_CONSENSUS      -            3.4e-11   49.4   9.4   1.2e-10   47.6   0.2   3.0   3   0   0   3   3   2   1 TSA: Proasellus beticus, contig comp95442_c0_seq5, transcribed RNA sequence
HAFL01112686.1_6     -          LOTUS_CONSENSUS      -            8.2e-11   48.1   9.9   1.6e-10   47.2   0.2   3.1   3   0   0   3   3   2   1 TSA: Proasellus beticus, contig comp95442_c0_seq8, transcribed RNA sequence
HAFL01112693.1_5     -          LOTUS_CONSENSUS      -            9.1e-11   48.0   9.9   1.6e-10   47.2   0.2   3.0   3   0   0   3   3   2   1 TSA: Proasellus beticus, contig comp95442_c0_seq15, transcribed RNA sequence
HAFL01112681.1_5     -          LOTUS_CONSENSUS      -            1.2e-10   47.6   9.9     2e-10   46.9   0.2   3.1   3   0   0   3   3   2   1 TSA: Proasellus beticus, contig comp95442_c0_seq3, transcribed RNA sequence
HAFL01112684.1_5     -          LOTUS_CONSENSUS      -            1.3e-10   47.5   9.9   2.1e-10   46.8   0.2   3.1   3   0   0   3   3   2   1 TSA: Proasellus beticus, contig comp95442_c0_seq6, transcribed RNA sequence
HAFL01112695.1_5     -          LOTUS_CONSENSUS      -            1.5e-10   47.3   9.9   2.2e-10   46.7   0.2   3.1   3   0   0   3   3   2   1 TSA: Proasellus beticus, contig comp95442_c0_seq17, transcribed RNA sequence
HAFL01112689.1_4     -          LOTUS_CONSENSUS      -            1.6e-10   47.2   9.4   2.6e-10   46.5   0.2   3.0   3   0   0   3   3   2   1 TSA: Proasellus beticus, contig comp95442_c0_seq11, transcribed RNA sequence
HAFL01112694.1_5     -          LOTUS_CONSENSUS      -            1.6e-10   47.2   9.9   2.3e-10   46.7   0.2   3.1   3   0   0   3   3   2   1 TSA: Proasellus beticus, contig comp95442_c0_seq16, transcribed RNA sequence
HAFL01114467.1_3     -          LOTUS_CONSENSUS      -            3.5e-10   46.1   0.6   5.5e-10   45.5   0.6   1.3   1   0   0   1   1   1   1 TSA: Proasellus beticus, contig comp95571_c0_seq3, transcribed RNA sequence
