#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
IABZ01110146.1_6     -          OSK_CONSENSUS        -            1.1e-05   30.2   0.2   2.6e-05   29.0   0.2   1.6   1   0   0   1   1   1   1 TSA: Ligia exotica mRNA, contig: Le_tra_AS01_contig_886, transcribed RNA sequence
IABZ01102948.1_3     -          OSK_CONSENSUS        -             0.0094   20.7   0.1     0.016   19.9   0.1   1.3   1   0   0   1   1   1   1 TSA: Ligia exotica mRNA, contig: Le_tra_AS01_contig_10653, transcribed RNA sequence
IABZ01087032.1_4     -          OSK_CONSENSUS        -               0.31   15.8   0.4      0.42   15.3   0.4   1.1   1   0   0   1   1   1   0 TSA: Ligia exotica mRNA, contig: Le_tra_AS01_contig_43015, transcribed RNA sequence
IABZ01054752.1_5     -          OSK_CONSENSUS        -                1.1   14.0   0.0       1.3   13.8   0.0   1.1   1   0   0   1   1   1   0 TSA: Ligia exotica mRNA, contig: Le_tra_AS01_contig_7961, transcribed RNA sequence
IABZ01096197.1_1     -          OSK_CONSENSUS        -                1.9   13.2   2.3       9.9   10.9   0.5   2.1   2   0   0   2   2   2   0 TSA: Ligia exotica mRNA, contig: Le_tra_AS01_contig_45101, transcribed RNA sequence
IABZ01083273.1_2     -          OSK_CONSENSUS        -                1.9   13.2   0.2       4.2   12.1   0.2   1.6   1   1   1   2   2   2   0 TSA: Ligia exotica mRNA, contig: Le_tra_AS01_contig_70422, transcribed RNA sequence
IABZ01084647.1_5     -          OSK_CONSENSUS        -                2.1   13.0   0.8       3.4   12.4   0.8   1.3   1   0   0   1   1   1   0 TSA: Ligia exotica mRNA, contig: Le_tra_AS01_contig_37747, transcribed RNA sequence
IABZ01035933.1_1     -          OSK_CONSENSUS        -                2.3   13.0   0.0       2.5   12.8   0.0   1.2   1   0   0   1   1   1   0 TSA: Ligia exotica mRNA, contig: Le_tra_AS01_contig_110295, transcribed RNA sequence
IABZ01021217.1_2     -          OSK_CONSENSUS        -                2.5   12.8   0.3       2.9   12.6   0.3   1.1   1   0   0   1   1   1   0 TSA: Ligia exotica mRNA, contig: Le_tra_AS01_contig_88274, transcribed RNA sequence
IABZ01101878.1_6     -          OSK_CONSENSUS        -                3.6   12.3   0.3        11   10.7   0.1   1.8   2   0   0   2   2   2   0 TSA: Ligia exotica mRNA, contig: Le_tra_AS01_contig_2710, transcribed RNA sequence
IABZ01065702.1_3     -          OSK_CONSENSUS        -                4.2   12.1   0.0         5   11.8   0.0   1.1   1   0   0   1   1   1   0 TSA: Ligia exotica mRNA, contig: Le_tra_AS01_contig_5101, transcribed RNA sequence
IABZ01035951.1_6     -          OSK_CONSENSUS        -                6.2   11.5   0.1       7.4   11.3   0.1   1.0   1   0   0   1   1   1   0 TSA: Ligia exotica mRNA, contig: Le_tra_AS01_contig_5199, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/OSK_CONSENSUS.hmm
# Target file:     /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_PROTEIN/translated_IABZ.1.fasta
# Option settings: /home/lblondel/Software/hmmer-3.1b2-linux-intel-x86_64/binaries/hmmsearch --tblout /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_RESULT/IABZ.1_osk_search.txt --cpu 8 ../Data/Oskar_hmm/OSK_CONSENSUS.hmm /media/lblondel/5D1FA0DA2BE76E76/savy/SOURCES/TSA_PROTEIN/translated_IABZ.1.fasta 
# Current dir:     /home/savy/Oskar_Orthologs/01_Oskar_identification
# Date:            Sat Nov  2 13:00:42 2019
# [ok]
